name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_burstiness__layer_6__final_context__per_variate,current_burstiness,6,final_context,per_variate,11.116648,3.0987933,3.8172126
current_burstiness__layer_6__final_context__series_mean,current_burstiness,6,final_context,series_mean,-46.023502,-0.75571704,2.4571276
current_burstiness__layer_6__first_decode__per_variate,current_burstiness,6,first_decode,per_variate,30.512548,-1.0858146,1.9815328
current_burstiness__layer_6__first_decode__series_mean,current_burstiness,6,first_decode,series_mean,-25.461,-3.9226894,0.548038
current_burstiness__layer_7__all_context__per_variate,current_burstiness,7,all_context,per_variate,31.25912,-1.1389751,2.2179506
current_burstiness__layer_7__all_context__series_mean,current_burstiness,7,all_context,series_mean,-39.35574,-3.7042015,1.2601228
current_burstiness__layer_7__final_context__per_variate,current_burstiness,7,final_context,per_variate,15.03765,2.4672976,3.9469194
current_burstiness__layer_7__final_context__series_mean,current_burstiness,7,final_context,series_mean,-44.83396,-1.5006456,2.5669029
current_burstiness__layer_7__first_decode__per_variate,current_burstiness,7,first_decode,per_variate,32.255714,-1.2008095,2.1170866
current_burstiness__layer_7__first_decode__series_mean,current_burstiness,7,first_decode,series_mean,-28.498196,-3.9549873,0.56196976
current_burstiness__layer_8__all_context__per_variate,current_burstiness,8,all_context,per_variate,32.54317,-1.2585734,2.2679386
current_burstiness__layer_8__all_context__series_mean,current_burstiness,8,all_context,series_mean,-38.829536,-4.1665764,1.3797592
current_burstiness__layer_8__final_context__per_variate,current_burstiness,8,final_context,per_variate,20.476852,1.5580364,4.054462
current_burstiness__layer_8__final_context__series_mean,current_burstiness,8,final_context,series_mean,-42.17699,-2.424282,2.6913815
current_burstiness__layer_8__first_decode__per_variate,current_burstiness,8,first_decode,per_variate,30.708668,-0.8664643,2.2759554
current_burstiness__layer_8__first_decode__series_mean,current_burstiness,8,first_decode,series_mean,-33.37335,-3.5812867,0.5987335
current_burstiness__layer_9__all_context__per_variate,current_burstiness,9,all_context,per_variate,32.986,-1.2976297,2.1542044
current_burstiness__layer_9__all_context__series_mean,current_burstiness,9,all_context,series_mean,-38.03988,-4.38007,1.2484455
current_burstiness__layer_9__final_context__per_variate,current_burstiness,9,final_context,per_variate,24.449442,0.97998786,3.945387
current_burstiness__layer_9__final_context__series_mean,current_burstiness,9,final_context,series_mean,-40.995922,-2.8676126,2.4816103
current_burstiness__layer_9__first_decode__per_variate,current_burstiness,9,first_decode,per_variate,29.941772,-0.56430113,2.3205671
current_burstiness__layer_9__first_decode__series_mean,current_burstiness,9,first_decode,series_mean,-35.973343,-3.2131803,0.39774868
